Recency (in Hours),Frequency,Monetary(in Minutes),Time(in Weeks),Responded
663,4,23,9,1
509,1,28,7,1
261,18,12,1,0
21,10,41,7,1
275,17,48,9,1
475,2,26,4,0
566,9,51,5,1
599,11,55,3,1
145,13,8,6,0
149,14,58,6,1
286,16,23,5,1
203,18,16,2,1
673,18,42,1,0
257,15,25,6,1
602,10,30,1,0
26,14,43,7,0
424,4,38,8,0
267,4,33,1,1
438,2,44,3,0
83,10,36,6,1
303,7,41,9,0
83,18,4,5,0
403,17,40,5,1
656,18,9,1,0
621,17,55,9,0
535,17,12,6,1
693,8,60,1,0
466,3,31,3,1
549,13,3,1,1
287,15,48,7,0
75,11,59,8,0
143,17,50,2,1
642,16,31,3,1
152,20,25,5,1
514,12,45,10,0
28,10,36,2,1
374,14,13,5,0
663,18,23,3,1
351,11,25,1,0
465,13,45,3,1
277,2,49,6,0
213,17,55,5,0
232,1,19,9,1
552,9,14,10,1
397,3,4,9,1
500,20,10,7,1
94,11,40,4,0
348,6,50,1,1
400,8,54,10,0
390,9,30,3,0
626,12,41,7,0
109,2,45,9,1
63,16,60,6,0
697,7,13,10,1
548,14,60,4,0
475,20,38,8,0
142,6,21,8,0
12,12,28,2,1
223,19,21,8,0
601,15,33,10,0
67,12,20,7,1
28,19,37,1,0
204,15,27,6,0
332,12,26,7,0
467,17,32,9,0
544,11,48,6,1
290,20,37,2,1
666,11,34,5,0
621,19,55,4,1
457,1,6,5,1
677,5,31,5,0
584,7,60,5,0
435,4,17,7,0
424,10,45,6,0
632,13,50,2,1
264,9,53,6,1
360,2,35,2,1
452,17,37,8,1
263,18,38,2,0
683,4,46,2,0
365,12,55,5,0
219,11,18,9,0
502,18,51,10,1
189,1,4,2,0
194,16,51,8,0
351,2,47,8,0
451,7,1,4,1
388,12,3,8,0
323,12,25,5,1
296,14,19,1,0
171,18,23,2,0
413,7,57,6,1
592,15,55,8,1
653,15,38,2,0
196,13,46,5,1
83,11,57,5,1
289,6,28,1,1
232,3,44,1,0
61,8,6,1,0
609,4,5,2,1
160,16,6,1,0
154,12,27,8,0
49,17,26,9,0
255,13,39,1,0
615,3,38,5,1
268,14,60,5,0
233,16,47,5,1
716,20,44,8,1
21,4,10,5,1
430,14,22,3,1
396,5,24,10,0
512,2,46,1,1
129,14,18,6,1
164,10,17,3,1
196,5,42,10,1
181,3,26,7,0
214,7,32,6,0
91,17,48,7,0
77,5,18,6,0
36,16,10,9,0
142,7,52,8,0
76,9,8,2,0
83,1,36,7,1
538,13,36,4,1
434,14,27,3,1
239,5,30,6,1
142,4,14,1,1
571,18,38,3,1
284,5,39,6,0
156,11,55,3,1
427,17,58,7,0
236,15,38,10,0
179,8,6,10,0
385,14,1,8,1
157,13,42,3,1
322,6,15,5,1
222,4,50,4,0
248,1,21,3,0
506,20,49,5,0
74,8,25,2,1
720,5,41,5,0
620,20,23,8,1
358,18,26,4,0
566,18,48,4,1
670,10,49,4,0
131,2,43,6,0
388,12,43,2,1
490,16,50,7,1
177,17,9,2,0
252,11,32,8,0
478,8,23,7,0
630,17,33,1,0
218,7,51,4,1
649,20,31,10,0
618,1,28,5,1
430,11,53,2,0
402,1,28,3,1
583,3,4,5,1
627,7,55,10,1
276,5,8,4,1
196,17,45,5,0
385,4,20,10,1
18,9,15,2,1
482,9,30,4,0
213,15,55,4,0
683,19,49,4,0
48,19,40,5,1
452,14,53,7,0
552,10,26,7,1
194,3,42,10,0
341,14,39,6,1
16,5,8,4,1
25,11,58,4,0
334,19,60,3,0
269,1,10,9,1
472,13,25,2,0
684,10,29,5,0
424,6,38,4,0
276,3,27,8,0
604,14,16,2,1
291,9,34,5,1
239,7,9,6,0
237,8,30,10,1
237,17,32,6,1
33,1,3,10,1
294,8,36,6,0
523,2,15,3,0
132,18,11,5,1
380,4,43,5,0
168,4,49,6,1
638,4,36,7,1
29,14,35,8,1
46,13,25,4,1
577,4,15,10,1
588,19,52,7,0
392,18,12,6,0
121,19,24,8,1
254,7,2,6,0
569,9,6,2,1
267,15,47,4,0
385,7,49,5,1
317,10,3,8,1
123,2,55,2,1
280,5,60,2,1
19,5,9,7,1
416,18,38,6,1
290,14,57,6,0
154,19,49,5,0
386,18,48,3,1
198,18,54,4,1
160,18,24,1,0
399,3,4,2,1
61,7,28,1,0
615,12,48,6,0
287,18,12,4,1
185,7,11,9,0
260,7,36,6,1
654,3,53,1,0
97,14,23,5,0
513,9,29,5,0
533,7,28,1,0
357,11,36,3,0
504,9,49,2,0
592,15,2,7,0
290,13,20,7,1
229,14,54,10,0
208,18,15,3,1
626,7,30,3,1
270,14,42,5,1
481,19,55,3,1
126,13,33,2,0
24,3,33,3,1
49,5,47,7,1
645,16,49,3,0
292,16,37,8,0
60,12,34,1,1
242,20,24,2,0
348,13,37,8,0
621,10,4,7,0
454,11,6,4,1
356,4,47,2,1
575,8,30,8,1
25,6,40,6,0
597,3,40,9,0
43,5,28,7,0
614,4,14,3,1
675,12,60,3,0
540,5,13,3,0
323,19,47,5,1
509,6,20,2,1
160,1,46,5,0
211,15,2,4,0
245,13,28,8,1
296,19,38,1,1
263,10,46,2,1
266,1,14,3,1
676,11,36,1,1
163,11,25,10,1
473,17,16,7,1
582,1,50,1,0
122,13,40,1,1
310,5,7,10,1
582,18,51,10,1
460,12,32,3,1
387,17,15,7,0
247,1,39,4,1
388,9,10,3,1
42,17,6,5,0
107,7,35,1,0
298,10,55,7,0
271,3,41,3,1
710,4,60,5,0
690,12,6,6,0
111,18,42,9,1
101,14,40,7,0
222,11,57,9,0
348,8,58,4,1
281,4,37,6,0
76,11,18,3,1
568,5,46,10,1
388,17,48,2,0
43,18,4,9,1
644,16,44,4,0
55,5,7,8,1
462,5,47,4,1
108,19,34,9,1
616,17,54,8,0
480,7,59,2,0
227,9,20,2,1
5,10,31,4,1
651,16,50,5,1
179,20,28,8,1
398,6,40,6,1
605,3,47,1,0
514,3,54,5,1
123,10,25,7,0
459,9,14,6,0
249,1,52,1,0
203,10,2,3,0
125,12,24,5,0
185,13,57,8,1
447,11,27,3,1
703,11,38,10,0
577,15,49,4,1
64,12,38,1,0
483,5,13,9,1
578,5,32,2,0
562,19,31,3,0
105,20,20,5,1
703,1,4,5,0
260,9,46,1,1
121,10,6,5,1
521,8,41,6,1
360,13,47,2,0
442,20,56,4,0
283,8,44,9,1
319,8,23,4,1
124,10,43,3,1
162,19,23,8,1
526,19,17,6,0
139,4,46,8,1
535,15,1,1,0
478,9,23,5,0
667,8,4,4,0
433,12,53,10,0
49,1,58,10,0
110,18,4,5,0
581,8,43,6,1
643,9,3,6,1
601,14,18,6,1
104,14,8,9,1
141,14,35,9,0
661,8,55,8,0
179,17,29,6,0
19,19,18,3,0
593,12,41,5,0
356,13,45,1,1
315,18,47,3,1
194,3,45,10,1
253,6,33,1,0
333,5,11,10,0
566,4,53,5,0
137,16,22,2,1
129,14,10,2,0
332,3,8,9,0
147,5,28,5,0
93,14,35,7,1
571,7,28,2,1
261,12,56,9,0
29,15,21,7,0
45,8,35,5,0
522,14,34,5,0
681,17,37,6,0
137,18,54,2,0
345,20,16,5,0
81,10,37,8,0
505,17,47,5,0
274,3,4,6,1
91,3,13,1,0
367,2,37,4,1
520,3,16,5,1
416,2,54,4,1
446,6,20,7,1
533,12,40,6,1
72,1,4,5,1
565,5,2,5,0
677,3,48,4,0
51,4,8,9,1
641,18,54,10,0
115,14,39,4,1
112,8,36,9,0
552,20,45,9,0
516,9,8,2,0
714,17,34,1,1
32,20,35,8,1
40,16,19,6,0
220,14,51,2,1
417,6,23,5,1
410,15,44,7,1
155,13,35,7,1
23,6,37,10,0
497,9,26,5,0
503,18,55,9,1
600,13,48,4,0
644,1,41,10,1
584,6,35,9,1
183,15,37,6,0
554,17,26,4,1
304,20,40,9,0
127,5,36,1,1
35,17,60,7,0
473,12,9,5,0
709,6,10,4,0
254,10,28,9,0
676,7,12,3,0
192,9,21,1,0
5,17,26,7,0
564,3,39,4,0
715,2,54,1,1
12,20,23,7,0
434,10,18,9,1
151,8,1,6,1
224,7,5,8,1
244,2,59,6,1
235,2,44,6,0
641,4,30,10,0
198,12,8,2,0
507,15,33,8,1
425,15,1,6,1
318,9,54,2,1
497,13,55,9,1
34,9,51,9,0
549,12,38,4,0
701,3,11,2,0
233,2,24,2,1
554,18,43,7,1
6,16,43,8,1
365,14,33,6,0
219,8,40,1,1
552,20,15,8,1
501,19,46,3,0
180,18,13,9,0
282,1,43,5,0
305,15,48,10,0
329,10,26,9,1
397,9,29,8,1
309,15,49,2,1
321,11,13,6,1
248,13,32,3,0
65,3,40,7,0
264,5,48,5,1
461,7,17,2,1
303,8,57,5,1
77,15,60,1,1
180,15,19,4,0
275,20,19,3,1
295,10,50,9,1
294,4,7,7,1
615,18,1,6,0
515,13,46,7,0
507,15,9,8,1
205,13,9,7,0
518,16,6,7,1
583,18,36,9,1
634,5,29,1,0
160,14,55,1,0
567,6,42,3,0
637,10,53,10,1
2,18,25,2,1
469,1,47,9,0
83,2,4,5,1
601,8,11,2,1
575,17,45,9,1
118,6,33,2,1
624,3,19,5,1
31,17,31,8,1
523,1,29,1,1
622,9,31,1,0
697,17,40,8,1
491,13,9,5,1
343,14,2,3,0
299,9,16,5,1
166,8,52,3,1
165,18,59,7,1
626,8,52,1,1
695,11,3,7,1
272,20,31,6,1
494,15,15,3,1
432,6,5,8,0
193,15,59,8,0
489,1,48,7,0
150,15,57,4,0
86,18,50,7,0
535,10,4,10,0
184,9,59,1,0
654,10,59,6,0
202,10,45,6,1
476,15,22,9,0
515,6,46,4,1
234,12,60,9,1
536,8,30,3,1
241,12,18,10,0
324,14,55,3,1
645,5,45,5,0
308,3,54,5,1
239,15,51,7,0
90,19,15,1,1
234,19,8,2,1
534,13,45,2,1
378,14,44,1,0
16,5,20,7,0
176,20,3,8,1
342,7,23,4,1
147,6,19,2,0
144,11,50,7,1
292,4,36,2,0
610,6,20,3,0
513,20,6,6,1
647,17,58,9,1
573,15,47,5,1
242,14,16,2,0
313,18,26,8,0
172,16,31,4,1
366,7,16,1,1
84,2,47,9,0
71,11,4,2,0
569,10,60,8,0
715,11,27,7,1
392,3,47,9,0
61,10,28,4,0
32,12,46,3,0
205,6,47,1,0
314,12,45,7,1
569,3,42,7,1
262,8,19,8,0
585,7,43,4,1
262,17,36,6,1
51,18,52,5,1
357,13,55,1,0
210,9,16,4,0
264,6,6,9,1
200,10,13,9,0
331,16,58,2,0
617,18,4,5,0
655,15,4,2,0
61,1,37,10,0
100,11,18,10,1
162,4,28,2,0
196,13,14,8,1
39,18,60,4,0
346,1,50,5,0
629,16,58,8,0
141,20,29,4,1
172,1,6,5,1
81,20,47,7,1
220,5,20,3,1
582,20,35,9,0
238,17,31,5,0
173,17,14,3,0
42,9,17,5,1
185,1,40,2,0
636,11,24,3,0
711,11,5,3,0
399,3,30,5,1
590,15,42,9,1
142,17,35,2,0
498,3,59,3,1
344,20,40,1,1
262,5,6,5,0
264,16,10,9,1
573,6,52,5,1
51,6,51,1,1
649,4,58,7,1
549,11,19,3,1
72,15,19,2,0
225,20,10,1,0
203,11,51,1,1
77,1,13,1,0
434,20,20,5,1
496,5,13,8,1
104,4,47,1,0
109,3,49,7,0
699,7,15,3,1
184,5,49,8,0
285,9,3,7,0
633,4,4,1,1
182,17,25,4,0
608,5,41,5,1
101,11,30,6,0
710,11,56,2,0
673,5,60,8,1
257,4,41,3,0
437,7,51,7,0
44,2,23,8,0
536,9,40,5,0
110,11,54,8,0
66,19,36,9,1
499,19,41,4,0
274,18,4,4,0
518,1,36,10,1
712,11,22,9,0
5,10,36,10,0
285,16,16,6,0
707,5,9,7,1
352,12,7,7,1
57,6,51,2,1
597,2,10,1,1
626,11,1,1,0
140,17,36,6,1
89,9,43,4,1
682,9,38,5,1
465,11,38,2,1
163,20,52,9,1
181,19,20,5,0
720,2,38,1,1
245,12,51,7,1
695,8,51,8,1
321,9,35,5,0
636,5,7,6,1
197,16,2,6,1
451,3,55,3,0
21,17,4,10,1
364,9,39,5,1
643,18,56,2,1
607,10,59,8,0
578,15,57,6,0
512,8,45,8,1
100,7,42,2,0
43,18,14,2,0
63,2,32,2,0
307,11,37,5,0
28,3,38,6,0
54,1,3,7,1
216,5,41,2,1
168,16,30,2,1
196,7,52,7,1
22,9,45,9,1
325,14,57,4,1
253,14,14,4,1
101,9,39,9,1
275,16,26,6,0
207,17,57,6,0
308,19,25,3,1
107,8,49,4,1
238,7,24,8,1
638,12,44,1,0
572,18,56,7,0
513,3,39,1,0
573,8,36,3,0
220,10,32,10,0
94,5,50,7,1
605,9,17,4,0
434,5,29,1,0
274,14,48,6,1
711,10,54,6,0
28,14,46,8,0
90,3,9,2,1
340,1,57,8,0
617,5,53,3,1
446,9,39,9,0
69,8,52,2,0
518,19,46,2,1
391,13,2,2,1
269,17,47,9,1
